name,url,minLat,minLon,maxLat,maxLon

New York Times,https://rss.nytimes.com/services/xml/rss/nyt/NYRegion.xml,40.49,-74.27,40.90,-73.65
Gothamist,https://gothamist.com/feed,40.49,-74.27,40.90,-73.65
New York Post,https://nypost.com/metro/feed/,40.49,-74.27,40.90,-73.65
The City,https://www.thecity.nyc/rss,40.49,-74.27,40.90,-73.65
Curbed,https://www.curbed.com/feeds/full-content.rss,40.49,-74.27,40.90,-73.65
NY1,https://ny1.com/services/contentfeed.nyc%7call-boroughs%7cnews.landing.rss,40.49,-74.27,40.90,-73.65
Brooklyn Eagle,https://brooklyneagle.com/feed/,40.55,-74.04,40.75,-73.84
qns.com,https://qns.com/feed/,40.49,-74.27,40.90,-73.65
Bronx Times,https://www.bxtimes.com/feed/,40.49,-74.27,40.90,-73.65
Canarsie Courier,https://www.siftrss.com/f/pN31x1AAAxY,40.55,-74.04,40.75,-73.84
New York Daily News,https://www.nydailynews.com/news/new-york-news/feed/,40.49,-74.27,40.90,-73.65
Caribbean Life,https://www.caribbeanlife.com/category/new-york-local/feed/,40.49,-74.27,40.90,-73.65
New York Beacon,https://newyorkbeacon.com/feed/,40.49,-74.27,40.90,-73.65
Long Island Press,https://www.longislandpress.com/feed/,40.49,-74.27,41.22,-71.79
Brooklyn Paper,https://www.brooklynpaper.com/feed/,40.55,-74.04,40.75,-73.84
ABC7 NY,https://abc7ny.com/feed/,40.49,-74.27,40.90,-73.65
Mott Haven Herald,https://motthavenherald.com/feed/,40.49,-74.27,40.90,-73.65
East Side Feed,https://eastsidefeed.com/feed/,40.49,-74.27,40.90,-73.65
West Side Rag,https://www.westsiderag.com/feed,40.76,-74.01,40.80,-73.97
The Lo-Down,https://www.thelodownny.com/leslog/category/lower-east-side-news-2/feed,40.71,-74.01,40.73,-73.98
W42ST,https://w42st.com/feed/,40.76,-74.01,40.80,-73.97
Village View,https://villageview.nyc/feed/,40.49,-74.27,40.90,-73.65
Bushwick Daily,https://bushwickdaily.com/feed/,40.69,-73.94,40.71,-73.92
Brooklyn Reader,https://www.bkreader.com/rss,40.55,-74.04,40.75,-73.84
EV Grieve,https://feeds.feedburner.com/EvGrieve,40.72,-73.99,40.73,-73.96
Queens Daily Eagle,https://queenseagle.com/all?format=rss,40.49,-74.27,40.90,-73.65
Queens Ledger,https://queensledger.com/feed/,40.49,-74.27,40.90,-73.65
